Val_L;Val_R;R;G;B;Hex;Acronym;Level 1;Level 2;Level 3;Level4;Level 5;Level 6;Level 7;Level 8;Level 9;Level 10
1190;3190;191;218;227;#BFDAE3;grey;grey Basic cell groups and regions;;;;;;;;;
184;2184;176;240;255;#B0F0FF;CH;grey Basic cell groups and regions;CH Cerebrum;;;;;;;;
219;2219;176;255;184;#B0FFB8;CTX;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;;;;;;;
220;2220;112;255;112;#70FF70;CTXpl;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;;;;;;
408;2408;112;255;113;#70FF71;Isocortex;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;;;;;
333;2333;38;143;69;#268F45;FRP;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;FRP Frontal pole, cerebral cortex;;;;
334;2334;38;143;69;#268F45;FRP1;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;FRP Frontal pole, cerebral cortex;FRP1 Frontal pole, layer 1;;;
335;2335;38;143;69;#268F45;FRP2-3;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;FRP Frontal pole, cerebral cortex;FRP2-3 Frontal pole, layer 2-3;;;
336;2336;38;143;69;#268F45;FRP5;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;FRP Frontal pole, cerebral cortex;FRP5 Frontal pole, layer 5;;;
337;2337;38;143;69;#268F45;FRP6a;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;FRP Frontal pole, cerebral cortex;FRP6a Frontal pole, layer 6a;;;
338;2338;38;143;69;#268F45;FRP6b;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;FRP Frontal pole, cerebral cortex;FRP6b Frontal pole, layer 6b;;;
484;2484;31;157;90;#1F9D5A;MO;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;;;;
485;2485;31;157;90;#1F9D5A;MO1;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;MO1 Somatomotor areas, Layer 1;;;
486;2486;31;157;90;#1F9D5A;MO2-3;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;MO2-3 Somatomotor areas, Layer 2-3;;;
